Voici les contacts masculin de la liste :
 
1,Taylor,Fahrenbacher,tfahrenbacher0@bloomberg.com,Male,231.168.158.236
3,Eadmund,McGebenay,emcgebenay2@gizmodo.com,Male,75.101.238.35
5,Orlan,Lander,olander4@hud.gov,Male,131.129.77.164
6,Timothy,Berceros,tberceros5@berkeley.edu,Male,113.111.217.116
10,Lyman,Tipping,ltipping9@ucla.edu,Male,179.249.206.116
11,Stanfield,Fessier,sfessiera@weather.com,Male,208.216.63.168
13,Lovell,Broek,lbroekc@hao123.com,Male,187.192.219.191
15,Bil,Menichino,bmenichinoe@cargocollective.com,Male,236.11.80.101
16,Tracey,Vanyushin,tvanyushinf@sogou.com,Male,158.3.255.207
18,Carly,Grigoletti,cgrigolettih@sbwire.com,Male,134.248.13.189
19,Harvey,Eddins,heddinsi@scribd.com,Male,181.247.195.80
20,Edgard,Growy,egrowyj@jigsy.com,Male,51.30.87.11
23,Kienan,Hunton,khuntonm@wp.com,Male,112.193.86.176
26,Lonny,Astle,lastlep@sohu.com,Male,183.89.223.144
31,Javier,Nind,jnindu@delicious.com,Male,85.0.84.163
32,Malvin,Duiguid,mduiguidv@exblog.jp,Male,133.154.24.160
33,Lorry,Trapp,ltrappw@phpbb.com,Male,110.249.56.23
35,Peterus,Ville,pvilley@cornell.edu,Male,173.152.108.27
36,Eli,Benallack,ebenallackz@loc.gov,Male,247.1.11.214
37,Dael,Atmore,datmore10@mashable.com,Male,227.193.77.150
38,Leroi,McGilroy,lmcgilroy11@washingtonpost.com,Male,155.249.170.183
40,Giraldo,Henlon,ghenlon13@slate.com,Male,200.48.241.70
41,Welsh,MacNeil,wmacneil14@cmu.edu,Male,125.191.166.149
42,Neal,Blackborne,nblackborne15@cmu.edu,Male,86.185.140.59
46,Wilt,Sexty,wsexty19@eventbrite.com,Male,4.216.144.196
48,Cameron,Valenti,cvalenti1b@newyorker.com,Male,41.25.246.53
49,Jon,Ivy,jivy1c@elpais.com,Male,125.129.231.224
52,Sauveur,Alfonso,salfonso1f@studiopress.com,Male,87.12.96.236
53,Pavlov,Robertis,probertis1g@reuters.com,Male,3.28.145.4
55,Sully,Polly,spolly1i@bloomberg.com,Male,135.24.147.125
59,Chucho,Torpie,ctorpie1m@ocn.ne.jp,Male,126.108.56.129
60,Carlo,Coper,ccoper1n@illinois.edu,Male,189.122.114.128
63,Somerset,Such,ssuch1q@abc.net.au,Male,171.48.244.19
64,Gabriele,Tredwell,gtredwell1r@squidoo.com,Male,236.130.37.214
66,Clevie,Pelchat,cpelchat1t@baidu.com,Male,93.118.153.62
67,Forest,Sapson,fsapson1u@reference.com,Male,124.22.242.95
68,Allin,Feaveryear,afeaveryear1v@printfriendly.com,Male,171.120.150.12
69,Roi,Rush,rrush1w@ihg.com,Male,86.81.212.76
70,Cully,Van den Hof,cvandenhof1x@furl.net,Male,39.111.8.174
73,Renaldo,Stratton,rstratton20@nba.com,Male,247.163.169.87
